MYTV-央视,#genre#
精品纪录,http://39.135.33.12:80/cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225681/index.m3u8
纪实科教,http://39.135.33.12:80/cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225995/index.m3u8
农业致富,http://39.135.33.12:80/cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225687/index.m3u8
中国功夫,http://39.135.33.12:80/cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225690/index.m3u8
爱情喜剧,http://39.135.33.12:80/cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225698/index.m3u8
动作电影,http://39.135.33.12:80/cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225703/index.m3u8
古装剧场,http://39.135.33.12:80/cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225706/index.m3u8
金鹰纪实,http://39.135.33.12:80/cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225699/index.m3u8
金鹰卡通,http://39.135.33.12:80/cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225702/index.m3u8
潮妈辣婆,http://39.135.33.12:80/cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225709/index.m3u8
哈哈炫动,http://39.135.33.12:80/cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225711/index.m3u8
黑莓动画,http://39.135.33.12:80/cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225710/index.m3u8
精品体育,http://39.135.33.12:80/cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225724/index.m3u8
军旅剧场,http://39.135.33.12:80/cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225727/index.m3u8
北京酷酷少儿,http://39.135.33.12:80/cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225730/index.m3u8
精品大剧,http://39.135.33.12:80/cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225737/index.m3u8
黑莓电影,http://39.135.33.12:80/cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225740/index.m3u8
家庭剧场,http://39.135.33.12:80/cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225743/index.m3u8
大湾区卫视,http://39.135.33.12:80/cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225748/index.m3u8
惊悚悬疑,http://39.135.33.12:80/cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225746/index.m3u8
军事评论,http://39.135.33.12:80/cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225749/index.m3u8
金牌综艺,http://39.135.33.12:80/cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225755/index.m3u8
哒啵电竞,http://39.135.33.12:80/cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225760/index.m3u8
睛彩篮球,http://39.135.33.12:80/cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225961/index.m3u8
睛彩竞技,http://39.135.33.12:80/cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225972/index.m3u8
